dataset,fold,granularity,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
bridge2algebra2006,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",276786,352370,343,0.81998,0.003223,0.10403,0.814689,0.012291,0.105762,0.819735,0.003304,0.104387,simplekt,valid,simplekt,0.807972,0.008721,0.107056,0.005291,0.012007,0.000244,-0.009068,-0.005498,-8.1e-05
bridge2algebra2006,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",276786,352370,343,0.820563,0.003061,0.104103,0.814689,0.012291,0.105762,0.819735,0.003304,0.104387,simplekt,valid,simplekt,0.807972,0.008721,0.107056,0.005874,0.012591,0.000828,-0.00923,-0.00566,-0.000243
bridge2algebra2006,0,question,linear_gating,"dkt,sakt,akt,simplekt",276786,352370,-1,0.803808,0.036906,0.110286,0.814689,0.012291,0.105762,0.819735,0.003304,0.104387,simplekt,valid,simplekt,0.807972,0.008721,0.107056,-0.010881,-0.004165,-0.015928,0.024615,0.028185,0.033602
bridge2algebra2006,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",286535,352370,361,0.821856,0.004136,0.103532,0.816829,0.013602,0.105225,0.821489,0.00363,0.103709,akt,valid,akt,0.806718,0.006749,0.107502,0.005027,0.015138,0.000367,-0.009466,-0.002613,0.000506
bridge2algebra2006,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",286535,352370,361,0.821937,0.002895,0.103605,0.816829,0.013602,0.105225,0.821489,0.00363,0.103709,akt,valid,akt,0.806718,0.006749,0.107502,0.005108,0.015219,0.000448,-0.010708,-0.003854,-0.000736
bridge2algebra2006,1,question,linear_gating,"dkt,sakt,akt,simplekt",286535,352370,-1,0.806031,0.04278,0.110066,0.816829,0.013602,0.105225,0.821489,0.00363,0.103709,akt,valid,akt,0.806718,0.006749,0.107502,-0.010798,-0.000687,-0.015458,0.029178,0.036031,0.03915
bridge2algebra2006,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",301562,352370,370,0.821136,0.005448,0.103629,0.817075,0.013361,0.105042,0.821535,0.003645,0.103815,akt,valid,akt,0.807446,0.007236,0.107317,0.004061,0.01369,-0.000399,-0.007913,-0.001788,0.001802
bridge2algebra2006,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",301562,352370,370,0.821963,0.00376,0.103694,0.817075,0.013361,0.105042,0.821535,0.003645,0.103815,akt,valid,akt,0.807446,0.007236,0.107317,0.004888,0.014517,0.000428,-0.009601,-0.003476,0.000115
bridge2algebra2006,2,question,linear_gating,"dkt,sakt,akt,simplekt",301562,352370,-1,0.806118,0.037011,0.109621,0.817075,0.013361,0.105042,0.821535,0.003645,0.103815,akt,valid,akt,0.807446,0.007236,0.107317,-0.010957,-0.001328,-0.015417,0.02365,0.029775,0.033365
bridge2algebra2006,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",307842,352370,373,0.819319,0.005199,0.10421,0.813184,0.015552,0.106341,0.818379,0.004311,0.104758,akt,valid,akt,0.805745,0.006766,0.107702,0.006135,0.013574,0.00094,-0.010354,-0.001568,0.000888
bridge2algebra2006,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",307842,352370,373,0.819734,0.003735,0.104389,0.813184,0.015552,0.106341,0.818379,0.004311,0.104758,akt,valid,akt,0.805745,0.006766,0.107702,0.00655,0.013989,0.001356,-0.011818,-0.003031,-0.000576
bridge2algebra2006,3,question,linear_gating,"dkt,sakt,akt,simplekt",307842,352370,-1,0.804403,0.040908,0.110577,0.813184,0.015552,0.106341,0.818379,0.004311,0.104758,akt,valid,akt,0.805745,0.006766,0.107702,-0.008781,-0.001342,-0.013975,0.025355,0.034142,0.036597
bridge2algebra2006,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",282684,352370,366,0.820222,0.0037,0.104148,0.812273,0.015749,0.10594,0.818336,0.002115,0.104515,akt,valid,akt,0.805861,0.009314,0.107894,0.007949,0.014361,0.001886,-0.012049,-0.005613,0.001586
bridge2algebra2006,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",282684,352370,366,0.820026,0.002789,0.104265,0.812273,0.015749,0.10594,0.818336,0.002115,0.104515,akt,valid,akt,0.805861,0.009314,0.107894,0.007753,0.014165,0.001691,-0.01296,-0.006524,0.000675
bridge2algebra2006,4,question,linear_gating,"dkt,sakt,akt,simplekt",282684,352370,-1,0.799937,0.030456,0.110125,0.812273,0.015749,0.10594,0.818336,0.002115,0.104515,akt,valid,akt,0.805861,0.009314,0.107894,-0.012336,-0.005924,-0.018399,0.014707,0.021142,0.028341
assist2012,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",439766,536087,208,0.778567,0.001781,0.166071,0.771622,0.026273,0.169221,0.777844,0.002019,0.166303,akt,valid,akt,0.772909,0.014961,0.168261,0.006945,0.005659,0.000724,-0.024491,-0.013179,-0.000238
assist2012,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",439766,536087,208,0.778572,0.002149,0.166062,0.771622,0.026273,0.169221,0.777844,0.002019,0.166303,akt,valid,akt,0.772909,0.014961,0.168261,0.00695,0.005664,0.000729,-0.024124,-0.012812,0.00013
assist2012,0,question,linear_gating,"dkt,sakt,akt,simplekt",439766,536087,-1,0.771663,0.030543,0.170544,0.771622,0.026273,0.169221,0.777844,0.002019,0.166303,akt,valid,akt,0.772909,0.014961,0.168261,4.1e-05,-0.001245,-0.00618,0.00427,0.015582,0.028524
assist2012,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",432602,536087,207,0.778928,0.003226,0.166014,0.771671,0.024466,0.169108,0.778036,0.002064,0.166272,akt,valid,akt,0.772772,0.014935,0.168316,0.007257,0.006156,0.000893,-0.02124,-0.011708,0.001163
assist2012,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",432602,536087,207,0.778757,0.002213,0.166035,0.771671,0.024466,0.169108,0.778036,0.002064,0.166272,akt,valid,akt,0.772772,0.014935,0.168316,0.007086,0.005985,0.000722,-0.022253,-0.012722,0.000149
assist2012,1,question,linear_gating,"dkt,sakt,akt,simplekt",432602,536087,-1,0.771395,0.029257,0.170605,0.771671,0.024466,0.169108,0.778036,0.002064,0.166272,akt,valid,akt,0.772772,0.014935,0.168316,-0.000276,-0.001377,-0.00664,0.004791,0.014322,0.027193
assist2012,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",424912,536087,208,0.778502,0.002746,0.16613,0.770889,0.024337,0.169446,0.777755,0.001825,0.16635,akt,valid,akt,0.771735,0.014769,0.168718,0.007613,0.006767,0.000747,-0.021592,-0.012024,0.000921
assist2012,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",424912,536087,208,0.778388,0.001736,0.166148,0.770889,0.024337,0.169446,0.777755,0.001825,0.16635,akt,valid,akt,0.771735,0.014769,0.168718,0.007499,0.006653,0.000633,-0.022601,-0.013033,-8.9e-05
assist2012,2,question,linear_gating,"dkt,sakt,akt,simplekt",424912,536087,-1,0.770879,0.034378,0.171251,0.770889,0.024337,0.169446,0.777755,0.001825,0.16635,akt,valid,akt,0.771735,0.014769,0.168718,-1e-05,-0.000855,-0.006876,0.01004,0.019608,0.032553
assist2012,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",419158,536087,205,0.778609,0.002641,0.166109,0.771283,0.024788,0.169284,0.777817,0.001666,0.166318,akt,valid,akt,0.771509,0.014137,0.168699,0.007327,0.007101,0.000792,-0.022147,-0.011495,0.000975
assist2012,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",419158,536087,205,0.778362,0.001863,0.166151,0.771283,0.024788,0.169284,0.777817,0.001666,0.166318,akt,valid,akt,0.771509,0.014137,0.168699,0.007079,0.006853,0.000545,-0.022925,-0.012274,0.000197
assist2012,3,question,linear_gating,"dkt,sakt,akt,simplekt",419158,536087,-1,0.771371,0.031247,0.17077,0.771283,0.024788,0.169284,0.777817,0.001666,0.166318,akt,valid,akt,0.771509,0.014137,0.168699,8.8e-05,-0.000138,-0.006446,0.006459,0.017111,0.029582
assist2012,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",423475,536087,209,0.778707,0.00244,0.166066,0.771679,0.022791,0.169189,0.778014,0.002003,0.166279,akt,valid,akt,0.772492,0.01261,0.168315,0.007028,0.006214,0.000693,-0.020352,-0.010171,0.000437
assist2012,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",423475,536087,209,0.778611,0.002326,0.166091,0.771679,0.022791,0.169189,0.778014,0.002003,0.166279,akt,valid,akt,0.772492,0.01261,0.168315,0.006933,0.006119,0.000597,-0.020466,-0.010285,0.000323
assist2012,4,question,linear_gating,"dkt,sakt,akt,simplekt",423475,536087,-1,0.769629,0.039323,0.172107,0.771679,0.022791,0.169189,0.778014,0.002003,0.166279,akt,valid,akt,0.772492,0.01261,0.168315,-0.00205,-0.002864,-0.008385,0.016531,0.026712,0.03732
ednet,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",77883,132209,83,0.679223,0.015646,0.204232,0.63232,0.086524,0.227431,0.665357,0.015092,0.207719,simplekt,valid,simplekt,0.658462,0.148408,0.237773,0.046903,0.020761,0.013866,-0.070878,-0.132762,0.000554
ednet,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",77883,132209,83,0.668941,0.020378,0.206827,0.63232,0.086524,0.227431,0.665357,0.015092,0.207719,simplekt,valid,simplekt,0.658462,0.148408,0.237773,0.036621,0.010479,0.003584,-0.066146,-0.12803,0.005286
ednet,0,question,linear_gating,"dkt,sakt,akt,simplekt",77883,132209,-1,0.644863,0.11161,0.228724,0.63232,0.086524,0.227431,0.665357,0.015092,0.207719,simplekt,valid,simplekt,0.658462,0.148408,0.237773,0.012543,-0.013599,-0.020494,0.025086,-0.036798,0.096518
ednet,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",110391,132209,85,0.682024,0.026042,0.203889,0.63288,0.085113,0.227789,0.664904,0.028481,0.208277,simplekt,valid,simplekt,0.659407,0.132468,0.232739,0.049144,0.022617,0.017119,-0.059071,-0.106426,-0.002439
ednet,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",110391,132209,85,0.667811,0.029704,0.207636,0.63288,0.085113,0.227789,0.664904,0.028481,0.208277,simplekt,valid,simplekt,0.659407,0.132468,0.232739,0.034931,0.008405,0.002907,-0.05541,-0.102764,0.001223
ednet,1,question,linear_gating,"dkt,sakt,akt,simplekt",110391,132209,-1,0.644277,0.10408,0.227884,0.63288,0.085113,0.227789,0.664904,0.028481,0.208277,simplekt,valid,simplekt,0.659407,0.132468,0.232739,0.011397,-0.01513,-0.020628,0.018967,-0.028388,0.075599
ednet,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",85108,132209,84,0.676976,0.0176,0.204734,0.632649,0.087569,0.22719,0.662051,0.013229,0.208276,simplekt,valid,simplekt,0.657867,0.146561,0.237687,0.044327,0.019109,0.014925,-0.069969,-0.128961,0.004372
ednet,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",85108,132209,84,0.665003,0.016501,0.207605,0.632649,0.087569,0.22719,0.662051,0.013229,0.208276,simplekt,valid,simplekt,0.657867,0.146561,0.237687,0.032353,0.007136,0.002952,-0.071068,-0.130061,0.003272
ednet,2,question,linear_gating,"dkt,sakt,akt,simplekt",85108,132209,-1,0.646997,0.111396,0.228237,0.632649,0.087569,0.22719,0.662051,0.013229,0.208276,simplekt,valid,simplekt,0.657867,0.146561,0.237687,0.014348,-0.01087,-0.015054,0.023827,-0.035165,0.098167
ednet,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",90433,132209,86,0.676326,0.027809,0.205063,0.632972,0.085275,0.226925,0.659729,0.022827,0.209043,simplekt,valid,simplekt,0.65679,0.145087,0.237052,0.043354,0.019536,0.016597,-0.057466,-0.117278,0.004982
ednet,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",90433,132209,86,0.663323,0.027735,0.208327,0.632972,0.085275,0.226925,0.659729,0.022827,0.209043,simplekt,valid,simplekt,0.65679,0.145087,0.237052,0.030351,0.006533,0.003594,-0.05754,-0.117352,0.004908
ednet,3,question,linear_gating,"dkt,sakt,akt,simplekt",90433,132209,-1,0.646213,0.104147,0.227199,0.632972,0.085275,0.226925,0.659729,0.022827,0.209043,simplekt,valid,simplekt,0.65679,0.145087,0.237052,0.013241,-0.010577,-0.013516,0.018872,-0.04094,0.08132
ednet,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",92249,132209,83,0.676922,0.014804,0.204474,0.630837,0.08795,0.229484,0.660204,0.017402,0.208855,simplekt,valid,simplekt,0.653691,0.142891,0.238855,0.046086,0.023232,0.016718,-0.073146,-0.128087,-0.002598
ednet,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",92249,132209,83,0.664307,0.01976,0.207705,0.630837,0.08795,0.229484,0.660204,0.017402,0.208855,simplekt,valid,simplekt,0.653691,0.142891,0.238855,0.033471,0.010617,0.004104,-0.068189,-0.123131,0.002358
ednet,4,question,linear_gating,"dkt,sakt,akt,simplekt",92249,132209,-1,0.640651,0.097774,0.228824,0.630837,0.08795,0.229484,0.660204,0.017402,0.208855,simplekt,valid,simplekt,0.653691,0.142891,0.238855,0.009814,-0.01304,-0.019553,0.009824,-0.045117,0.080372
